city;apartment_price_m2;house_price_m2;county;settlement_type
Beremend;189000;0;Baranya;nagyközség
Bogád;399000;0;Baranya;község
Bóly;339000;0;Baranya;város
Harkány;570000;0;Baranya;város
Hosszúhetény;578000;0;Baranya;község
Komló;243000;79000;Baranya;város
Kozármisleny;712000;0;Baranya;város
Kővágószőlős;265000;0;Baranya;község
Mecseknádasd;198000;0;Baranya;község
Mohács;330000;114000;Baranya;város
Pécs;583000;266000;Baranya;megyeszékhely
Pécsvárad;302000;0;Baranya;város
Sásd;257000;0;Baranya;város
Sátorhely;218000;0;Baranya;község
Sellye;178000;0;Baranya;város
Siklós;340000;145000;Baranya;város
Szalánta;163000;0;Baranya;község
Szederkény;232000;0;Baranya;község
Szentlőrinc;383000;0;Baranya;város
Szigetvár;308000;137000;Baranya;város
Villány;318000;0;Baranya;város
Abaújszántó;154000;163000;Borsod-Abaúj-Zemplén;város
Alsózsolca;240000;249000;Borsod-Abaúj-Zemplén;város
Arló;92000;95000;Borsod-Abaúj-Zemplén;nagyközség
Arnót;318000;438000;Borsod-Abaúj-Zemplén;község
Ároktő;71000;71000;Borsod-Abaúj-Zemplén;község
Aszaló;152000;155000;Borsod-Abaúj-Zemplén;község
Bánhorváti;242000;0;Borsod-Abaúj-Zemplén;község
Bánréve;103000;106000;Borsod-Abaúj-Zemplén;község
Bekecs;170000;168000;Borsod-Abaúj-Zemplén;község
Berente;285000;0;Borsod-Abaúj-Zemplén;község
Bodroghalom;128000;128000;Borsod-Abaúj-Zemplén;község
Bodrogolaszi;204000;206000;Borsod-Abaúj-Zemplén;község
Bogács;378000;376000;Borsod-Abaúj-Zemplén;község
Boldva;163000;200000;Borsod-Abaúj-Zemplén;község
Borsodnádasd;57000;52000;Borsod-Abaúj-Zemplén;város
Bőcs;186000;177000;Borsod-Abaúj-Zemplén;község
Bükkábrány;233000;233000;Borsod-Abaúj-Zemplén;község
Cserépfalu;257000;290000;Borsod-Abaúj-Zemplén;község
Csernely;130000;130000;Borsod-Abaúj-Zemplén;község
Csobád;93000;0;Borsod-Abaúj-Zemplén;község
Csobaj;78000;0;Borsod-Abaúj-Zemplén;község
Csokvaomány;46000;46000;Borsod-Abaúj-Zemplén;község
Dédestapolcsány;86000;86000;Borsod-Abaúj-Zemplén;község
Edelény;205000;254000;Borsod-Abaúj-Zemplén;város
Emőd;288000;299000;Borsod-Abaúj-Zemplén;város
Encs;249000;219000;Borsod-Abaúj-Zemplén;város
Erdőbénye;110000;90000;Borsod-Abaúj-Zemplén;község
Farkaslyuk;64000;77000;Borsod-Abaúj-Zemplén;község
Felsőnyárád;157000;0;Borsod-Abaúj-Zemplén;község
Felsőzsolca;308000;296000;Borsod-Abaúj-Zemplén;város
Forró;164000;151000;Borsod-Abaúj-Zemplén;község
Gesztely;215000;191000;Borsod-Abaúj-Zemplén;község
Gönc;251000;251000;Borsod-Abaúj-Zemplén;város
Halmaj;192000;206000;Borsod-Abaúj-Zemplén;község
Hangony;68000;64000;Borsod-Abaúj-Zemplén;község
Harsány;279000;279000;Borsod-Abaúj-Zemplén;község
Hejőkeresztúr;236000;0;Borsod-Abaúj-Zemplén;község
Hercegkút;150000;150000;Borsod-Abaúj-Zemplén;község
Hernádkak;302000;308000;Borsod-Abaúj-Zemplén;község
Hernádnémeti;219000;227000;Borsod-Abaúj-Zemplén;nagyközség
Hidasnémeti;218000;340000;Borsod-Abaúj-Zemplén;község
Hollóháza;109000;0;Borsod-Abaúj-Zemplén;község
Igrici;139000;0;Borsod-Abaúj-Zemplén;község
Ináncs;184000;0;Borsod-Abaúj-Zemplén;község
Izsófalva;68000;0;Borsod-Abaúj-Zemplén;nagyközség
Járdánháza;73000;0;Borsod-Abaúj-Zemplén;község
Kazincbarcika;305000;346000;Borsod-Abaúj-Zemplén;város
Királd;57000;0;Borsod-Abaúj-Zemplén;község
Kistokaj;534000;543000;Borsod-Abaúj-Zemplén;község
Kurityán;80000;0;Borsod-Abaúj-Zemplén;község
Lénárddaróc;76000;76000;Borsod-Abaúj-Zemplén;község
