Terület;Lakónépesség száma az év végén (a népszámlálás végleges adataiból továbbvezetett adat) (fő);Lakónépességből a 65 éves és idősebbek száma az év végén (fő);Belföldi állandó odavándorlások száma (eset);Belföldi állandó elvándorlások száma (eset);A helyi önkormányzatok bevételei az államháztartáson belülről érkező működési célú támogatásokból (1000 Ft);A helyi önkormányzatok összes költségvetési kiadása (1000 Ft);Lakásállomány (db);Épített lakások száma (db);Az év folyamán megszűnt lakások száma (db);Nyilvántartott álláskeresők száma összesen (fő);Közfoglalkoztatottak száma (fő)
Budapest 01. ker.;24031;5839;529;458;2037689;19477019;17539;42;1;241;4
Budapest 02. ker.;85573;21653;1082;1216;14499378;35802173;49806;57;15;662;9
Budapest 03. ker.;125443;28042;2152;2515;13472470;45834585;66235;437;17;1602;26
Budapest 04. ker.;94716;20074;1442;1703;10798722;35786064;50849;87;0;1386;41
Budapest 05. ker.;23678;4868;477;407;51816307;373192220;20390;15;0;218;2
Budapest 06. ker.;35355;5762;871;781;2782491;25646188;29375;75;0;498;4
Budapest 07. ker.;48825;7760;1117;1143;7190485;31804847;38249;28;0;601;8
Budapest 08. ker.;71033;10952;1753;1771;10026919;40742224;48439;235;0;1359;33
Budapest 09. ker.;58508;9253;1349;1392;6847892;31690874;45426;435;0;850;18
Budapest 10. ker.;74641;13736;1314;1376;7355675;36175335;41416;7;3;1079;25
Budapest 11. ker.;149812;31542;2641;2720;18532398;58532879;86278;1283;23;1417;22
Budapest 12. ker.;55337;13665;813;855;5769338;31272808;36108;86;3;443;7
Budapest 13. ker.;121206;22748;3269;2660;12306930;69002993;85623;1002;0;1728;21
Budapest 14. ker.;118909;25516;2489;2235;14184865;53922352;75505;340;11;1486;10
Budapest 15. ker.;75082;16440;1046;1202;8831220;30103077;38600;15;3;1057;20
Budapest 16. ker.;72247;15834;755;961;9552782;29248497;33385;71;22;671;3
Budapest 17. ker.;84265;18471;1140;1166;6847334;25378006;34678;106;5;903;17
Budapest 18. ker.;99163;20814;1450;1609;8566846;37205377;45808;55;13;1232;9
Budapest 19. ker.;57459;12738;777;737;8577455;22740791;29219;16;2;691;10
Budapest 20. ker.;61128;13346;917;1088;5971222;19605434;32596;12;7;747;23
Budapest 21. ker.;69502;15419;1047;1101;9318783;31214846;33887;7;5;911;13
Budapest 22. ker.;56810;11819;624;878;6132698;20019106;24908;99;27;569;4
Budapest 23. ker.;22486;4188;367;385;2427952;12417140;9337;97;2;252;19
Aszód;6096;1074;133;153;2268716;2602330;2650;5;0;74;5
Bag;3712;753;155;134;765434;925636;1340;0;0;77;14
Domony;2209;433;73;58;386272;462453;879;1;0;49;7
Galgahévíz;2542;483;85;72;438198;466184;1014;2;0;49;5
Galgamácsa;1857;342;73;53;505173;495137;746;1;0;28;3
Hévízgyörk;3348;584;95;69;571512;1115366;1216;3;0;37;7
Iklad;1978;411;45;25;822853;716563;692;3;0;26;3
Kartal;5985;1036;147;140;1383319;1779739;2063;2;0;89;11
Tura;7701;1415;195;172;1282757;1612695;3005;3;0;175;17
Vácegres;887;130;50;33;201596;177713;304;1;0;30;5
Verseg;1248;240;47;53;239676;264364;516;0;0;24;5
Biatorbágy;15444;2301;558;452;12235622;11795022;5851;17;1;151;0
