property_id;property_type;county;settlement_type;city;building_area_m2;land_area_m2;scenario;source_condition;target_condition;current_score;target_score;score_delta;current_factor;target_factor;factor_delta;current_value;target_value;value_delta;value_delta_pct;ksh_baseline;ksh_source_level
ID5;Lakóház;Bács-Kiskun;város;Tiszakécske;45.0;1047.2387744004814;2->5;2;5;0.471711;0.421817;-0.049893999999999994;0.988684;0.968727;-0.019957000000000003;13258258.0;12990626.0;-267632.0;-0.020186060642355882;13410000.0;city
ID6;Lakóház;Jász-Nagykun-Szolnok;város;Kenderes;65.0;1025.8940746749702;2->5;2;5;0.460642;0.530582;0.06994;0.984257;1.012233;0.02797599999999989;10556156.0;10856197.0;300041.0;0.0284233200039863;10725000.0;city
ID16;Lakóház;Heves;község;Adács;130.0;898.0837893287948;2->5;2;5;0.575508;0.569277;-0.0062309999999999865;1.030203;1.027711;-0.0024919999999999387;19821106.0;19773157.0;-47949.0;-0.00241908801658192;19240000.0;city
ID24;Lakóház;Békés;város;Mezőberény;161.0;1916.551317083895;2->5;2;5;0.40004;0.396497;-0.0035430000000000184;0.960016;0.958599;-0.0014170000000000016;36013086.0;35959919.0;-53167.0;-0.0014763244671672957;37513000.0;city
ID28;Lakóház;Jász-Nagykun-Szolnok;város;Tiszafüred;46.0;64.02281956461508;2->5;2;5;0.639233;0.539875;-0.09935800000000006;1.055693;1.01595;-0.039743000000000084;14082945.0;13552772.0;-530173.0;-0.0376464581804445;13340000.0;city
ID41;Lakóház;Bács-Kiskun;város;Kiskunmajsa;50.80104111264944;1603.3429866682627;2->5;2;5;0.330297;0.402712;0.07241500000000001;0.932119;0.961085;0.028965999999999936;11838149.0;12206026.0;367877.0;0.031075550746996004;12700260.0;city
ID44;Lakóház;Hajdú-Bihar;város;Téglás;99.0;619.8582967330158;2->5;2;5;0.598548;0.611887;0.01333899999999999;1.039419;1.044755;0.005336000000000007;42498735.0;42716881.0;218146.0;0.005132999841054093;40887000.0;city
ID65;Lakóház;Nógrád;község;Nógrádszakál;72.0;1415.751304367555;2->5;2;5;0.665283;0.564596;-0.10068699999999997;1.066113;1.025839;-0.04027400000000014;6140811.0;5908830.0;-231981.0;-0.037776932069721735;5760000.0;city
ID66;Lakóház;Borsod-Abaúj-Zemplén;város;Mezőkövesd;52.0;1049.1524300026308;2->5;2;5;0.402037;0.564557;0.16252;0.960815;1.025823;0.06500799999999995;14638975.0;15629437.0;990462.0;0.06765924526819671;15236000.0;city
ID89;Lakóház;Jász-Nagykun-Szolnok;község;Kengyel;130.0;1247.456611308763;2->5;2;5;0.560285;0.457444;-0.10284100000000002;1.024114;0.982977;-0.04113699999999998;25943181.0;24901099.0;-1042082.0;-0.04016785759618298;25332320.0;county_settlement
ID92;Lakóház;Baranya;város;Villány;103.0;1372.8212296347945;2->5;2;5;0.545016;0.620277;0.07526100000000002;1.018007;1.048111;0.03010399999999991;12451493.0;12819704.0;368211.0;0.029571634501983014;12231250.0;county_settlement
ID94;Lakóház;Borsod-Abaúj-Zemplén;község;Novajidrány;79.42533286358798;79.42533286358798;2->5;2;5;0.744051;0.599136;-0.14491500000000002;1.09762;1.039654;-0.05796599999999996;17567413.0;16639665.0;-927748.0;-0.0528107354224552;16004999.0;county_settlement
ID110;Lakóház;Borsod-Abaúj-Zemplén;város;Onga;116.0;1464.7629515343792;2->5;2;5;0.442329;0.391928;-0.05040100000000003;0.976932;0.956771;-0.020160999999999984;41816586.0;40953643.0;-862943.0;-0.020636380980503764;42804000.0;city
ID115;Lakóház;Borsod-Abaúj-Zemplén;város;Mezőkövesd;63.0;1693.4984040227555;2->5;2;5;0.596358;0.539495;-0.05686300000000011;1.038543;1.015798;-0.022745000000000015;19170470.0;18750616.0;-419854.0;-0.021901080150877886;18459000.0;city
ID130;Lakóház;Békés;város;Békés;94.07104021746008;707.9315785123853;2->5;2;5;0.41;0.427789;0.017789;0.964;0.971115;0.0071149999999999824;20948112.0;21102736.0;154624.0;0.0073812857215962945;21730410.0;city
ID134;Lakóház;Fejér;község;Sárkeresztúr;108.0;649.4092402997529;2->5;2;5;0.64126;0.573427;-0.06783300000000003;1.056504;1.029371;-0.027133000000000074;12665371.0;12340096.0;-325275.0;-0.02568223228518138;11988000.0;city
ID135;Lakóház;Bács-Kiskun;város;Kecel;54.66454445052741;1261.70603033373;2->5;2;5;0.438373;0.506106;0.06773299999999993;0.975349;1.002443;0.02709399999999995;10770039.0;11069210.0;299171.0;0.027778079540844745;11042238.0;city
ID139;Lakóház;Heves;község;Szihalom;201.0;771.485887929794;2->5;2;5;0.6289;0.488989;-0.139911;1.05156;0.995595;-0.05596500000000004;29379538.0;27815941.0;-1563597.0;-0.05322061225060789;27939000.0;city
ID141;Lakóház;Szabolcs-Szatmár-Bereg;község;Nyírgyulaj;45.0;751.3812276191447;2->5;2;5;0.546265;0.512723;-0.03354199999999996;1.018506;1.005089;-0.013417000000000012;6874916.0;6784352.0;-90564.0;-0.013173106405954633;6750000.0;city
