property_id;activation_year;building_value;land_value;renovation_cost;property_type;land_area_m2;building_area_m2;condition;settlement_type;city;county;annual_cost;ksh_price_m2;baseline_value;ml_prediction;modifier;final_value;ksh_source_level;total_cost;package_ids;works
ID1;2022;1306989.82603138;5.068207706313837;0.0;Lakóház;774.2500328402208;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;143916.19039658635;409000.0;15951000.0;2337859.0;0.698;11126958.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID2;2022;4987718.580015332;42.208524349151695;0.0;Lakóház;2088.363442071528;98.0;3;Város;Sárbogárd;Fejér vármegye;342256.0318496723;224000.0;21952000.0;4529437.0;1.351;29668025.0;city;20381336.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID3;2022;7722818.436009768;29.994077244448057;0.0;Lakóház;1056.5634482564628;164.0;3;Város;Pusztaszabolcs;Fejér vármegye;532520.5045528786;409000.0;67076000.0;6571318.0;1.961;131519431.0;city;34107543.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID4;2022;891399.0417642242;8.958874891734382;0.0;Lakóház;1104.7459024550574;39.0;3;Város;Sárbogárd;Fejér vármegye;148518.05607723293;224000.0;8736000.0;1111790.0;0.332;2898048.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID5;2022;4686372.257709878;6.141162970522562;0.0;Lakóház;766.7066478570243;44.0;3;Város;Bicske;Fejér vármegye;169751.26075962174;546000.0;24024000.0;3719875.0;1.11;26665146.0;city;9150804.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID6;2022;3942219.961876581;17.468914762724303;0.0;Lakóház;761.9168668546108;39.0;3;Város;Bodajk;Fejér vármegye;165623.7641380879;290366.0;11324274.0;3462542.0;1.033;11699728.0;national;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID7;2022;4664678.212091936;7.71821071191316;0.0;Lakóház;527.2428010147205;51.0;3;Város;Polgárdi;Fejér vármegye;169945.7158031924;363000.0;18513000.0;4110374.0;1.226;22705361.0;city;10606614.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID8;2022;2221163.6013439284;30850.60177450043;0.0;Lakóház;2230.7585715862647;39.0;3;Város;Martonvásár;Fejér vármegye;154174.42581033515;528000.0;20592000.0;1935738.0;0.578;11893656.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID9;2022;3816652.8512420566;3.5929134527116995;0.0;Lakóház;187.3319573268304;39.0;3;Város;Polgárdi;Fejér vármegye;125932.67078456184;363000.0;14157000.0;2173151.0;0.648;9179761.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID10;2022;2498898.843112793;62.38170518516948;0.0;Lakóház;2457.083068282344;39.0;3;Város;Polgárdi;Fejér vármegye;138928.25927636184;363000.0;14157000.0;2497453.0;0.745;10549671.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID11;2022;1449283.1419731118;11.09728243399678;0.0;Lakóház;1012.3498659089364;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;157839.79258890412;409000.0;15951000.0;1766019.0;0.527;8405309.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID12;2022;3964945.344129757;58.15944485773131;0.0;Lakóház;3042.9617922387383;39.0;3;Város;Bicske;Fejér vármegye;141247.95163067893;546000.0;21294000.0;3326466.0;0.993;21135409.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID13;2022;2712529.941908525;10.70100946133524;0.0;Lakóház;1479.8196286353775;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;147064.2061986338;409000.0;15951000.0;2560612.0;0.764;12187143.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID14;2022;1460578.512081635;14189.998451643294;0.0;Lakóház;1041.5149100501808;39.0;3;Város;Polgárdi;Fejér vármegye;118245.95751887656;363000.0;14157000.0;1789552.0;0.534;7559373.0;city;8110940.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID15;2022;2353274.177731713;6885.471293182768;0.0;Lakóház;524.6332569186487;39.0;2;Város;Mór;Fejér vármegye;136962.68493204087;342000.0;13338000.0;2507564.0;0.748;9979597.0;city;11567874.0;[1, 2, 3];['Burkolás', 'Épületautomatika (csengő, kaputelefon', 'Elektromosság', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Vízhálózat cseréje', 'Felületképzés', 'Szárazépítés']
ID16;2022;11804442.974942517;59.26858126175616;0.0;Lakóház;1126.2949651689592;116.0;3;Város;Pusztaszabolcs;Fejér vármegye;392123.6134768396;409000.0;47444000.0;8776904.0;2.619;124249014.0;city;24124847.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID17;2022;11633480.995256072;13.411130871524842;0.0;Lakóház;931.4979893022256;109.0;2;Város;Bicske;Fejér vármegye;463371.2636304027;546000.0;59514000.0;8460225.0;2.524;150235085.0;city;32330724.0;[1, 2, 3];['Burkolás', 'Épületautomatika (csengő, kaputelefon', 'Elektromosság', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Vízhálózat cseréje', 'Felületképzés', 'Szárazépítés']
ID18;2022;3102593.204210003;20.215577246753224;0.0;Lakóház;2098.083827058856;100.0;3;Város;Polgárdi;Fejér vármegye;385807.79588477;363000.0;36300000.0;5229021.0;1.56;56636612.0;city;20797282.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID19;2022;11275701.590858905;2.410549463044916;0.0;Lakóház;514.1040411650634;103.0;3;Város;Aba;Fejér vármegye;290201.24072772625;313000.0;32239000.0;8723201.0;2.603;83912708.0;city;21421201.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID20;2022;3730623.580211909;15.311993907964856;0.0;Lakóház;1192.0848451115476;71.0;3;Város;Polgárdi;Fejér vármegye;200789.0478937448;363000.0;25773000.0;1539675.0;0.459;11840342.0;city;14766070.0;[2, 3];['Burkolás', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Épületautomatika (csengő, kaputelefon']
ID21;2022;7795959.151609194;15.623343011354748;0.0;Lakóház;757.350326050288;102.0;2;Város;Sárbogárd;Fejér vármegye;487633.8256339015;224000.0;22848000.0;6748821.0;2.014;46009379.0;city;30254439.0;[1, 2, 3];['Burkolás', 'Épületautomatika (csengő, kaputelefon', 'Elektromosság', 'Konyhabútor, beépített szekrény', 'Bejárati ajtók', 'Gépészeti szerelvények (fütési rendszer, szaniterek)', 'Fa-és műanyag nyílászárók (külső-belső)', 'Vízhálózat cseréje', 'Felületképzés', 'Szárazépítés']
