property_type;condition;count;min;p01;p05;p25;median;p75;p95;p99;max
Lakás;2;44;0.12023595170532811;0.1223639480480002;0.14213883496540886;0.317893835115561;0.4250237952070993;0.5171380417664122;0.6490744107425394;0.6873394726879567;0.7117636481249061
Lakás;3;291;0.1423041301634521;0.15005450806058873;0.19590563729875726;0.3776817028129794;0.5507612929600781;0.8823293198030719;1.280726520754684;1.3839156815937192;1.3992584687458416
Lakás;4;197;0.1233295126378544;0.13395340083453086;0.233377847682836;0.4100505402493411;0.5762302923899284;0.7611868054235498;1.179724025710349;1.4099356938923464;1.5913828543330124
Lakás;5;145;0.15316363941496394;0.15885884884422544;0.20789114109726423;0.7181056161857584;0.9448916850233934;1.3447397861504151;1.7166516237553726;1.7840316768514723;1.8093411699109654
Lakás;6;666;0.35981836658004424;0.45598110368802;0.6825394909923691;1.1467025113582263;1.3207177570711708;1.5016509977489108;1.76913417244659;1.8386923654377392;1.880769558341247
Lakóház;1;376;0.38264467424654297;0.4994171283606318;0.6406377617067038;0.8269467131044467;0.9655611165797158;1.1411988766996863;1.3506318576159329;1.4885805651470754;1.6043811544522615
Lakóház;2;1204;0.2572623163916427;0.5233987714307126;0.6218426345395739;0.8395254995459492;0.9966379621090657;1.150988660925533;1.3559088012209464;1.4862319513513538;1.599702925979988
Lakóház;3;4869;0.26902908345464643;0.5075877549502508;0.6382765872053685;0.847991148601006;0.9997240440231394;1.1421697335228198;1.3583770150619805;1.5014495178304115;1.7332043735849563
Lakóház;4;1193;0.28196143916933764;0.509947425460162;0.6217776639017777;0.8292387907964002;0.9883433445859591;1.139742341230868;1.353648533349677;1.4800907704637416;1.6383966775385983
Lakóház;5;120;0.5116671778739139;0.5487128119193091;0.6175154822013562;0.8232751085477857;0.9663325100751471;1.1193470424607477;1.3472339914119038;1.4612788593871044;1.5501514143490036
Lakóház;6;32;0.970353297935208;1.0254240524920728;1.181300068333619;1.3566701101298115;1.473963625833648;1.5726076363882724;1.6716110593465396;1.6947960358707685;1.6968040953284242
