property_type;condition;count;min;p01;p05;p25;median;p75;p95;p99;max
Lakás;2;44;0.0608989939934878;0.061976815016671905;0.07199271044998266;0.16101186442733054;0.21527272986403725;0.261928200780742;0.328753405953079;0.34813449575628086;0.3605052358896146
Lakás;3;291;0.0720764317590422;0.07600196493202965;0.09922536529162546;0.19129416305887348;0.2789582333412432;0.4468960172465981;0.6486824912891989;0.7009473588017914;0.7087184147078516
Lakás;4;197;0.0624658693413049;0.06784682316003045;0.11820487917858208;0.2076888404299499;0.2918581723470062;0.385537853145772;0.5975251606256808;0.714126383462968;0.8060285922207324
Lakás;5;145;0.0775767266317507;0.08046132578786885;0.10529597157437054;0.363717415519475;0.4785835869770576;0.6811049357373631;0.8694766868082837;0.9036043947906411;0.9164235445037464
Lakás;6;666;0.1822464598509405;0.2309524738715078;0.34570332560872935;0.5807999051953063;0.668937881009892;0.7605797916113091;0.8960588726867839;0.9312897991865999;0.9526017169744972
Lakóház;1;376;0.1938078868098458;0.2529526341240852;0.32448027939091995;0.4188449644221556;0.489052565434368;0.5780123378391282;0.6840892446707441;0.7539596735416136;0.8126121754972859
Lakóház;2;1204;0.130302260168255;0.26509923351108117;0.3149606280701315;0.4252160658197128;0.5047928544443194;0.5829708215730824;0.6867619939803122;0.7527701107244189;0.810242672835292
Lakóház;3;4869;0.1362620772323626;0.2570910214578812;0.32328435463018945;0.4295038807672617;0.5063559417013587;0.5785040726572253;0.688012133707639;0.7604777428964906;0.8778605836224249
Lakóház;4;1193;0.1428122599507627;0.2582861844534042;0.3149277207206675;0.4200058919452061;0.5005916662343577;0.5772746088694748;0.6856171779950447;0.7496596289368735;0.8298408920894496
Lakóház;5;120;0.2591572316770502;0.27792068647752893;0.3127689439646998;0.4169853124572379;0.4894432729322386;0.5669444774929548;0.6823682400077047;0.7401314766378854;0.7851450446601592
Lakóház;6;32;0.4914797847431073;0.5193728857949014;0.5983234194566437;0.6871475936783276;0.7465562564535768;0.796519024835718;0.8466638340592232;0.8584069252566757;0.8594239987618619
