property_id;scenario;feature;feature_value;shap_value;effect
ID1;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID1;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID1;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID2;current;building_area_m2;98.0;-0.01295312337947939;decrease
ID2;current;cat__county_Hajdú-Bihar vármegye;;-0.011113106806577936;decrease
ID2;current;cat__county_Békés vármegye;;0.010701767628091044;increase
ID3;current;building_area_m2;164.0;-0.09835871420468849;decrease
ID3;current;cat__county_Fejér vármegye;;0.044717893087898676;increase
ID3;current;cat__settlement_type_Város;;0.02514840076123423;increase
ID4;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID4;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID4;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID5;current;building_area_m2;44.0;0.10869851795483892;increase
ID5;current;cat__county_Fejér vármegye;;0.03138539105994648;increase
ID5;current;condition;3;0.021121740582725763;increase
ID6;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID6;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID6;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID7;current;building_area_m2;51.0;0.07839526534911127;increase
ID7;current;cat__county_Fejér vármegye;;0.046036222979509704;increase
ID7;current;cat__settlement_type_Nagyközség;;-0.007660649236628102;decrease
ID8;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID8;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID8;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID9;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID9;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
ID9;current;cat__settlement_type_Város;;-0.006149304783990446;decrease
ID10;current;cat__county_Fejér vármegye;;-0.04785594194792111;decrease
ID10;current;cat__settlement_type_Nagyközség;;-0.00906952740120209;decrease
