;predicted_land_structural_score;predicted_building_structural_score;predicted_structural_score;adjustment_factor;predicted_market_value;ksh_baseline_value_huf
count;9137.0;9137.0;9137.0;9137.0;9137.0;9137.0
mean;0.5028896293905599;0.5047782594163278;0.5043377307027352;1.0017350922810941;23808679.481965456;23849728.86970113
std;0.17176613457437287;0.1547757207308123;0.136514946439607;0.0546059785758428;16942999.707858577;17086939.831349064
min;0.06380247735244325;0.060898993993487895;0.060898993993487895;0.8243595975973952;1637840.6130116815;1656000.0
5%;0.20864629448859454;0.2456929528719331;0.2794150194410233;0.9117660077764094;6495042.627802208;6423733.333333333
25%;0.39103969016310797;0.39917340379431016;0.4186741104568785;0.9674696441827515;12005207.942706741;11972000.0
50%;0.5;0.5095241870802484;0.5064957122204001;1.00259828488816;19300710.375252627;19400000.0
75%;0.6147927281426634;0.6069507051893207;0.5908715371066731;1.0363486148426693;30651011.31370518;30555000.0
95%;0.7971448504878336;0.7568725765290193;0.7240823204348382;1.0896329281739354;55988501.57914899;56119275.46577242
max;0.9909655306650619;0.9526017169744972;0.9526017169744972;1.181040686789799;182622532.09979862;195278720.0000013
